index,SHIPPING_LOCATION,DEPARTMENT,CATEGORY,SUBCATEGORY,BREADCRUMBS,SKU,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRICE_CURRENT,PRODUCT_SIZE,PROMOTION,RunDate,tid
318851,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,970096078,https://www.walmart.com/ip/Marie-Callender-s-Aged-Cheddar-Cheesy-Chicken-Rice-Bowl-Frozen-Meals-12-oz/970096078?fulfillmentIntent=Pickup,"Marie Callender's Aged Cheddar Cheesy Chicken & Rice Bowl, Frozen Meals, 12 oz.",Marie Callender's,2.98,2.98,12,,2022-09-11 21:20:04,16482655
318852,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,467635295,https://www.walmart.com/ip/Marie-Callender-s-Slow-Roasted-Beef-Pot-Roast-Bowl-Frozen-Meals-11-oz/467635295?fulfillmentIntent=Pickup,"Marie Callender's Slow Roasted Beef Pot Roast Bowl, Frozen Meals, 11 oz.",Marie Callender's,2.98,2.98,11,,2022-09-11 21:20:04,16482656
318853,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,513053449,https://www.walmart.com/ip/Totino-s-Pizza-Rolls-Pepperoni-Flavored-Frozen-Snacks-24-8-oz-50-ct/513053449?fulfillmentIntent=Pickup&athbdg=L1300,"Totino's Pizza Rolls, Pepperoni Flavored, Frozen Snacks, 24.8 oz, 50 ct",Totino's,4.98,4.48,24.8,,2022-09-11 21:20:04,16482657
318854,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,10794571,https://www.walmart.com/ip/Banquet-Salisbury-Steaks-Brown-Gravy-Family-Size-6-count-27-oz/10794571?fulfillmentIntent=Pickup&athbdg=L1600,"Banquet Salisbury Steaks & Brown Gravy Family Size, 6 count, 27 oz",Homestyle Bakes,3.57,3.57,27,,2022-09-11 21:20:04,16482658
318855,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,10416519,https://www.walmart.com/ip/Great-Value-Garlic-Texas-Toast-11-25-oz-8-Count/10416519?fulfillmentIntent=Pickup,"Great Value Garlic Texas Toast, 11.25 oz, 8 Count",Great Value,1.74,1.74,11.25,,2022-09-11 21:20:04,16482659
318856,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,10794554,https://www.walmart.com/ip/Banquet-Chicken-Pot-Pie-7-oz/10794554?fulfillmentIntent=Pickup&athbdg=L1200,"Banquet Chicken Pot Pie, 7 oz",Homestyle Bakes,1.18,1.18,7,,2022-09-11 21:20:04,16482660
318857,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,768900222,https://www.walmart.com/ip/Marie-Callender-s-Swedish-Meatballs-Bowl-Frozen-Meals-11-5-oz/768900222?fulfillmentIntent=Pickup,"Marie Callender's Swedish Meatballs Bowl, Frozen Meals, 11.5 oz.",Marie Callender's,2.98,2.98,11.5,,2022-09-11 21:20:04,16482661
318859,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,898976790,https://www.walmart.com/ip/Marie-Callender-s-Chicken-Pot-Pie-Large-Size-15-oz/898976790?fulfillmentIntent=Pickup,"Marie Callender's Chicken Pot Pie Large Size, 15 oz",Marie Callender's,3.48,3.48,15,,2022-09-11 21:20:04,16482663
318860,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,10804762,https://www.walmart.com/ip/Stouffer-s-Lasagna-with-Meat-Sauce-Frozen-Meal-10-5-oz/10804762?fulfillmentIntent=Pickup,Stouffer's Lasagna with Meat & Sauce Frozen Meal 10.5 oz,Stouffer's,3.48,3.48,10.5,,2022-09-11 21:20:04,16482664
318861,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,139130891,https://www.walmart.com/ip/Marie-Callender-s-Beef-Shepherd-s-Pie-Frozen-Meal-11-5-oz/139130891?fulfillmentIntent=Pickup,"Marie Callender's Beef Shepherd's Pie Frozen Meal, 11.5 oz.",Marie Callender's,2.98,2.98,11.5,,2022-09-11 21:20:04,16482665
318862,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,14940814,https://www.walmart.com/ip/Michelina-s-Fettucine-Alfredo-with-Chicken-and-Broccoli-8-0-Oz-Frozen/14940814?fulfillmentIntent=Pickup,Michelina's Fettucine Alfredo with Chicken and Broccoli  8.0 Oz. (Frozen),Michelina's,1.24,1.24,8.0,,2022-09-11 21:20:04,16482666
318863,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,10794886,https://www.walmart.com/ip/Marie-Callender-s-Frozen-Dinner-Fettuccini-with-Chicken-Broccoli-13-Ounce/10794886?fulfillmentIntent=Pickup,"Marie Callender's Frozen Dinner, Fettuccini with Chicken & Broccoli, 13 Ounce",Marie Callender's,3.48,3.48,13,,2022-09-11 21:20:04,16482667
318864,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,854640170,https://www.walmart.com/ip/Marie-Callender-s-Frozen-Meal-Creamy-Vermont-Mac-Cheese-Bowl-13-Ounce/854640170?fulfillmentIntent=Pickup,"Marie Callender's Frozen Meal, Creamy Vermont Mac & Cheese Bowl, 13 Ounce",Marie Callender's,2.98,2.98,13,,2022-09-11 21:20:04,16482668
318865,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,284565637,https://www.walmart.com/ip/Marie-Callender-s-Frozen-Meal-Tender-Ginger-Beef-Broccoli-Bowl-11-8-Ounce/284565637?fulfillmentIntent=Pickup,"Marie Callender's Frozen Meal, Tender Ginger Beef & Broccoli Bowl, 11.8 Ounce",Marie Callender's,2.98,2.98,11.8,,2022-09-11 21:20:04,16482669
318866,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,899977032,https://www.walmart.com/ip/Banquet-Mega-Bowls-Country-Fried-Chicken-14-oz/899977032?fulfillmentIntent=Pickup,"Banquet Mega Bowls Country Fried Chicken, 14 oz",Homestyle Bakes,2.98,2.98,14,,2022-09-11 21:20:04,16482670
318867,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,13812845,https://www.walmart.com/ip/El-Monterey-Beef-Bean-Burritos-32-oz-Family-Size-8-Ct-Frozen/13812845?fulfillmentIntent=Pickup,"El Monterey Beef & Bean Burritos, 32 oz Family Size, 8 Ct (Frozen)",El Monterey,4.88,4.88,32,,2022-09-11 21:20:04,16482671
318868,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,14940855,https://www.walmart.com/ip/Michelina-s-Pop-n-Chicken-4-5-Oz-Frozen/14940855?fulfillmentIntent=Pickup&athbdg=L1600,Michelina's Pop'n Chicken 4.5 Oz. (Frozen),Michelina's,1.48,1.48,4.5,,2022-09-11 21:20:04,16482672
318869,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,15728862,https://www.walmart.com/ip/White-Castle-Classic-Cheese-Sliders-6-Two-Packs-per-box-11-oz/15728862?fulfillmentIntent=Pickup,"White Castle Classic Cheese Sliders, 6 Two-Packs per box, 11 oz",White Castle,5.78,5.78,11,,2022-09-11 21:20:04,16482673
318870,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,486302433,https://www.walmart.com/ip/Snapps-Loaded-Potato-Sticks-5-oz/486302433?fulfillmentIntent=Pickup,"Snapps Loaded Potato Sticks, 5 oz",Snapps,1.24,1.24,5,,2022-09-11 21:20:04,16482674
318871,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,11027865,https://www.walmart.com/ip/Great-Value-Fully-Cooked-Chicken-Strips-25-oz/11027865?fulfillmentIntent=Pickup,"Great Value Fully Cooked Chicken Strips, 25 oz",Great Value,8.98,8.98,25,,2022-09-11 21:20:04,16482675
318872,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,740662087,https://www.walmart.com/ip/Marie-Callender-s-Meat-Loaf-Gravy-12-4-oz/740662087?fulfillmentIntent=Pickup,"Marie Callender's Meat Loaf & Gravy, 12.4 oz",Marie Callender's,3.48,3.48,12.4,,2022-09-11 21:20:04,16482676
318873,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,37912493,https://www.walmart.com/ip/Healthy-Choice-Caf-Steamers-Asian-Inspired-Beef-Teriyaki-Frozen-Meal-9-5-oz/37912493?fulfillmentIntent=Pickup,"Healthy Choice Caf Steamers Asian Inspired Beef Teriyaki Frozen Meal, 9.5 oz.",Healthy Choice,3.12,3.12,9.5,,2022-09-11 21:20:04,16482677
318874,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,46064326,https://www.walmart.com/ip/Choice-Simply-Steamers-Frozen-Dinner-Chicken-Stir-Fry-9-25-oz/46064326?fulfillmentIntent=Pickup&athbdg=L1600,"Choice Simply Steamers Frozen Dinner, Chicken Stir Fry, 9.25 oz",Healthy Choice,3.42,3.42,9.25,,2022-09-11 21:20:04,16482678
318875,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,10534288,https://www.walmart.com/ip/Great-Value-Onion-Rings-16-oz/10534288?fulfillmentIntent=Pickup,"Great Value Onion Rings, 16 oz",Great Value,2.98,2.98,16,,2022-09-11 21:20:04,16482679
318876,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,855698433,https://www.walmart.com/ip/Snapps-Mozzarella-Sticks-5-oz/855698433?fulfillmentIntent=Pickup,"Snapps Mozzarella Sticks, 5 oz",Snapps,1.24,1.24,5,,2022-09-11 21:20:04,16482680
318877,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,37912490,https://www.walmart.com/ip/Healthy-Choice-Caf-Steamers-Grilled-Chicken-Pesto-With-Vegetables-Frozen-Meal-9-9-oz/37912490?fulfillmentIntent=Pickup&athbdg=L1600,"Healthy Choice Caf Steamers Grilled Chicken Pesto With Vegetables Frozen Meal, 9.9 oz.",Healthy Choice,3.12,3.12,9.9,,2022-09-11 21:20:04,16482681
318878,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,356880552,https://www.walmart.com/ip/Tai-Pei-Chicken-Fried-Rice-Frozen-Asian-Entr-e-11-oz/356880552?fulfillmentIntent=Pickup,Tai Pei Chicken Fried Rice Frozen Asian Entre 11 oz,Tai Pei,2.98,2.98,11,,2022-09-11 21:20:04,16482682
318879,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,45025243,https://www.walmart.com/ip/El-Monterey-Beef-Bean-Cheese-Flavor-Chimichangas-30-4-oz-Family-Size-8-Ct-Frozen/45025243?fulfillmentIntent=Pickup,"El Monterey Beef, Bean & Cheese Flavor Chimichangas, 30.4 oz Family Size, 8 Ct (Frozen)",El Monterey,4.88,4.88,30.4,,2022-09-11 21:20:04,16482683
318880,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,911502991,https://www.walmart.com/ip/Marie-Callender-s-Roasted-Garlic-Chicken-Bowl-Frozen-Meals-11-5-oz/911502991?fulfillmentIntent=Pickup,"Marie Callender's Roasted Garlic Chicken Bowl, Frozen Meals, 11.5 oz.",Marie Callender's,2.98,2.98,11.5,,2022-09-11 21:20:04,16482684
318881,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,10316632,https://www.walmart.com/ip/Great-Value-Breaded-Fish-Sticks-24-7-oz-44-Count-Frozen/10316632?fulfillmentIntent=Pickup,"Great Value Breaded Fish Sticks, 24.7 oz, 44 Count (Frozen)",Great Value,4.62,4.62,24.7,,2022-09-11 21:20:04,16482685
318882,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,10534214,https://www.walmart.com/ip/Great-Value-Regular-Cut-French-Fried-Potatoes-32-oz/10534214?fulfillmentIntent=Pickup,"Great Value Regular Cut French Fried Potatoes, 32 oz",Great Value,1.98,1.98,32,,2022-09-11 21:20:04,16482686
318883,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,47386167,https://www.walmart.com/ip/Banquet-Salisbury-Steak-Meal-11-88-oz/47386167?fulfillmentIntent=Pickup,"Banquet Salisbury Steak Meal, 11.88 oz",Homestyle Bakes,1.48,1.48,11.88,,2022-09-11 21:20:04,16482687
318884,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,10801192,https://www.walmart.com/ip/SuperPretzel-Original-Fully-Baked-Soft-Pretzels-6-count-13-oz/10801192?fulfillmentIntent=Pickup,"SuperPretzel Original Fully Baked Soft Pretzels, 6 count, 13 oz",SUPERPRETZEL,2.78,2.78,13,,2022-09-11 21:20:04,16482688
318885,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,10804995,https://www.walmart.com/ip/On-Cor-Chicken-Parmagiana-w-Tomato-Sauce-26-oz-Box/10804995?fulfillmentIntent=Pickup,On-Cor Chicken Parmagiana w/ Tomato Sauce 26 oz. Box,OnCor,3.97,3.97,26,,2022-09-11 21:20:04,16482689
318886,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,10794568,https://www.walmart.com/ip/Banquet-Classic-Chicken-Fried-Chicken-Frozen-Single-Serve-Meal-10-1-Ounce/10794568?fulfillmentIntent=Pickup,"Banquet Classic Chicken Fried Chicken Frozen Single Serve Meal, 10.1 Ounce",Homestyle Bakes,1.48,1.48,10.1,,2022-09-11 21:20:04,16482690
318887,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,47394251,https://www.walmart.com/ip/Banquet-Basic-Salisbury-Steak-with-Mac-and-Cheese-Frozen-Single-Serve-Meal-8-Ounce/47394251?fulfillmentIntent=Pickup,"Banquet Basic Salisbury Steak with Mac and Cheese Frozen Single Serve Meal, 8 Ounce",Homestyle Bakes,1.24,1.24,8,,2022-09-11 21:20:04,16482691
318888,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,818929788,https://www.walmart.com/ip/Marie-Callender-s-Frozen-Meal-Steak-Roasted-Potatoes-11-9-Ounce/818929788?fulfillmentIntent=Pickup,"Marie Callender's Frozen Meal, Steak & Roasted Potatoes, 11.9 Ounce",Marie Callender's,3.48,3.48,11.9,,2022-09-11 21:20:04,16482692
318889,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,37912485,https://www.walmart.com/ip/Healthy-Choice-Cafe-Steamers-Grilled-Chicken-Marinara-with-Parmesan-Frozen-Meal-9-5-OZ/37912485?fulfillmentIntent=Pickup,"Healthy Choice Cafe Steamers Grilled Chicken Marinara with Parmesan, Frozen Meal, 9.5 OZ",Healthy Choice,3.12,3.12,9.5,,2022-09-11 21:20:04,16482693
318890,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,10318308,https://www.walmart.com/ip/Stouffer-s-Family-Size-Lasagna-with-Meat-Sauce-Frozen-Meal/10318308?fulfillmentIntent=Pickup,Stouffer's Family Size Lasagna with Meat & Sauce Frozen Meal,Stouffer's,9.84,9.84,,,2022-09-11 21:20:04,16482694
318891,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,879997206,https://www.walmart.com/ip/Marie-Callender-s-Sweet-Pineapple-Chicken-Teriyaki-Bowl-12-3-oz/879997206?fulfillmentIntent=Pickup,"Marie Callender's Sweet Pineapple Chicken Teriyaki Bowl, 12.3 oz",Marie Callender's,2.98,2.98,12.3,,2022-09-11 21:20:04,16482695
318892,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,10534214,https://www.walmart.com/ip/Great-Value-Regular-Cut-French-Fried-Potatoes-32-oz/10534214?fulfillmentIntent=Pickup,"Great Value Regular Cut French Fried Potatoes, 32 oz",Great Value,1.98,1.98,32,,2022-09-11 21:20:04,16482696
318893,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,10801192,https://www.walmart.com/ip/SuperPretzel-Original-Fully-Baked-Soft-Pretzels-6-count-13-oz/10801192?fulfillmentIntent=Pickup,"SuperPretzel Original Fully Baked Soft Pretzels, 6 count, 13 oz",SUPERPRETZEL,2.78,2.78,13,,2022-09-11 21:20:04,16482697
318894,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,10804995,https://www.walmart.com/ip/On-Cor-Chicken-Parmagiana-w-Tomato-Sauce-26-oz-Box/10804995?fulfillmentIntent=Pickup,On-Cor Chicken Parmagiana w/ Tomato Sauce 26 oz. Box,OnCor,3.97,3.97,26,,2022-09-11 21:20:04,16482698
318895,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,10794568,https://www.walmart.com/ip/Banquet-Classic-Chicken-Fried-Chicken-Frozen-Single-Serve-Meal-10-1-Ounce/10794568?fulfillmentIntent=Pickup,"Banquet Classic Chicken Fried Chicken Frozen Single Serve Meal, 10.1 Ounce",Homestyle Bakes,1.48,1.48,10.1,,2022-09-11 21:20:04,16482699
318896,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,21838815,https://www.walmart.com/ip/Banquet-Frozen-Pot-Pie-Breakfast-Deep-Dish-Sausage-Gravy-7-Ounce/21838815?fulfillmentIntent=Pickup,"Banquet Frozen Pot Pie Breakfast, Deep Dish Sausage & Gravy, 7-Ounce",Homestyle Bakes,1.18,1.18,7,,2022-09-11 21:20:04,16482700
318897,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,37912485,https://www.walmart.com/ip/Healthy-Choice-Cafe-Steamers-Grilled-Chicken-Marinara-with-Parmesan-Frozen-Meal-9-5-OZ/37912485?fulfillmentIntent=Pickup,"Healthy Choice Cafe Steamers Grilled Chicken Marinara with Parmesan, Frozen Meal, 9.5 OZ",Healthy Choice,3.12,3.12,9.5,,2022-09-11 21:20:04,16482701
318898,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,879997206,https://www.walmart.com/ip/Marie-Callender-s-Sweet-Pineapple-Chicken-Teriyaki-Bowl-12-3-oz/879997206?fulfillmentIntent=Pickup,"Marie Callender's Sweet Pineapple Chicken Teriyaki Bowl, 12.3 oz",Marie Callender's,2.98,2.98,12.3,,2022-09-11 21:20:04,16482702
318899,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,10318308,https://www.walmart.com/ip/Stouffer-s-Family-Size-Lasagna-with-Meat-Sauce-Frozen-Meal/10318308?fulfillmentIntent=Pickup,Stouffer's Family Size Lasagna with Meat & Sauce Frozen Meal,Stouffer's,9.84,9.84,,,2022-09-11 21:20:04,16482703
318900,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,13448573,https://www.walmart.com/ip/Stouffer-s-Spaghetti-with-Meat-Sauce-Frozen-Meal-12-oz/13448573?fulfillmentIntent=Pickup,Stouffer's Spaghetti with Meat Sauce Frozen Meal 12 oz,Stouffer's,3.48,3.48,12,,2022-09-11 21:20:04,16482704
318901,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,818929788,https://www.walmart.com/ip/Marie-Callender-s-Frozen-Meal-Steak-Roasted-Potatoes-11-9-Ounce/818929788?fulfillmentIntent=Pickup,"Marie Callender's Frozen Meal, Steak & Roasted Potatoes, 11.9 Ounce",Marie Callender's,3.48,3.48,11.9,,2022-09-11 21:20:04,16482705
318902,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,693082640,https://www.walmart.com/ip/Great-Value-Flour-Chicken-Taquitos-19-2-oz-16-Count/693082640?fulfillmentIntent=Pickup,"Great Value Flour Chicken Taquitos, 19.2 oz, 16 Count",Great Value,4.64,4.64,19.2,,2022-09-11 21:20:04,16482706
318903,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,10804758,https://www.walmart.com/ip/Stouffer-s-Classic-Meatloaf-Frozen-Meal-9-7-8-Ounce-9-875-oz/10804758?fulfillmentIntent=Pickup,"Stouffer's Classic Meatloaf Frozen Meal, 9 7/8 Ounce 9.875 oz",Stouffer's,3.48,3.48,9.875,,2022-09-11 21:20:04,16482707
318904,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,34701147,https://www.walmart.com/ip/Farm-Rich-Breaded-Mozzarella-Cheese-Sticks-High-Protein-Snack-Frozen-24-oz/34701147?fulfillmentIntent=Pickup,"Farm Rich Breaded Mozzarella Cheese Sticks, High Protein Snack, Frozen, 24 oz",Farm Rich,6.68,6.68,24,,2022-09-11 21:20:04,16482708
318905,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,47386166,https://www.walmart.com/ip/Banquet-Spaghetti-Meatballs-10-oz/47386166?fulfillmentIntent=Pickup,"Banquet Spaghetti & Meatballs, 10 oz",Homestyle Bakes,1.48,1.48,10,,2022-09-11 21:20:04,16482709
318906,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,46675150,https://www.walmart.com/ip/Great-Value-Cinnamon-French-Toast-Bites-16-oz-Frozen/46675150?fulfillmentIntent=Pickup,"Great Value Cinnamon French Toast Bites, 16 oz (Frozen)",Great Value,3.16,3.16,16,,2022-09-11 21:20:04,16482710
318907,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,386616119,https://www.walmart.com/ip/DEVOUR-Cajun-Style-Alfredo-with-Smoked-Sausage-Chicken-Frozen-Meal-10-oz-Box/386616119?fulfillmentIntent=Pickup&athbdg=L1300,"DEVOUR Cajun-Style Alfredo with Smoked Sausage & Chicken Frozen Meal, 10 oz Box",DEVOUR,3.26,2.93,10,,2022-09-11 21:20:04,16482711
318908,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,10804764,https://www.walmart.com/ip/Stouffer-s-Macaroni-Cheese-Frozen-Meal-12-oz/10804764?fulfillmentIntent=Pickup,Stouffer's Macaroni & Cheese Frozen Meal 12 oz,Stouffer's,3.27,3.27,12,,2022-09-11 21:20:04,16482712
318909,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,46064325,https://www.walmart.com/ip/Healthy-Choice-Simply-Steamers-Grilled-Chicken-Broccoli-Alfredo-Frozen-Meal-9-15-oz/46064325?fulfillmentIntent=Pickup,"Healthy Choice Simply Steamers Grilled Chicken & Broccoli Alfredo Frozen Meal, 9.15 oz.",Healthy Choice,3.42,3.42,9.15,,2022-09-11 21:20:04,16482713
318910,66062,Frozen,Frozen Meals & Snacks,Shop all,Frozen/Frozen Meals & Snacks,295473159,https://www.walmart.com/ip/Banquet-Mega-Bowls-Chicken-Fajita-Frozen-Dinner-14-Ounce/295473159?fulfillmentIntent=Pickup,"Banquet Mega Bowls Chicken Fajita Frozen Dinner, 14 Ounce",Homestyle Bakes,2.98,2.98,14,,2022-09-11 21:20:04,16482714
